"";"interval";"Sp1";"File";"Plant";"Plant_ID";"Revision_ID";"DateTime";"Species";"Behaviour";"Count";"Coexistence";"Deployment_ID";"n_cam";"Videos";"Days";"Days.in.field";"n";"duration";"long";"lat";"videos_events";"ID"
"42";2020-07-13 03:45:00;"sus scrofa";"07130052.AVI";"corema";"calb02";"Rev01";2020-07-13 03:46:08;"sus scrofa";"eating";1;FALSE;NA;1;463;25,1984490740741;26;1;10,366667;-6,445671;36,970016;3,46410161513775;"calb02_Rev01_07130052.AVI"
"43";2020-07-13 04:50:00;"meles meles";"07130035.MP4, 07130036.MP4, 07130037.MP4, 07130038.MP4, 07130039.MP4, 07130040.MP4, 07130041.MP4";"corema";"calb07";"Rev01";2020-07-13 04:51:00;"meles meles, meles meles, meles meles, meles meles, meles meles, meles meles, meles meles";"probably eating, eating, eating, eating, eating, eating, eating";1;FALSE;NA;1;244;25,2993055555556;26;7;48,24;-6,445319;36,969339;9,16515138991168;"calb07_Rev01_07130035.MP4, 07130036.MP4, 07130037.MP4, 07130038.MP4, 07130039.MP4, 07130040.MP4, 07130041.MP4"
"44";2020-07-13 04:55:00;"meles meles";"07130042.MP4";"corema";"calb07";"Rev01";2020-07-13 04:53:20;"meles meles";"eating";1;FALSE;NA;1;244;25,2993055555556;26;1;8,88;-6,445319;36,969339;3,46410161513775;"calb07_Rev01_07130042.MP4"
"45";2020-07-13 07:05:00;"alectoris rufa";"07130043.MP4, 07130044.MP4, 07130045.MP4";"corema";"calb07";"Rev01";2020-07-13 07:03:14;"alectoris rufa, alectoris rufa, alectoris rufa";"probably eating, probably eating, eating";3;FALSE;NA;1;244;25,2993055555556;26;9;20,589;-6,445319;36,969339;10,3923048454133;"calb07_Rev01_07130043.MP4, 07130044.MP4, 07130045.MP4"
"46";2020-07-13 08:10:00;"sus scrofa";"IMG_0016.MP4";"corema";"calb22";"Rev01";2020-07-13 08:11:36;"sus scrofa";"eating";1;FALSE;NA;1;139;24,9939351851852;26;1;17,25;-6,446944;36,969153;3,46410161513775;"calb22_Rev01_IMG_0016.MP4"
"47";2020-07-13 11:45:00;"meles meles";"IMG_0219.MP4, IMG_0220.MP4";"corema";"calb11";"Rev01";2020-07-13 11:46:14;"meles meles, meles meles";"eating, eating";1;FALSE;NA;1;581;8,21365740740741;26;2;20;-6,446087;36,969275;4,89897948556636;"calb11_Rev01_IMG_0219.MP4, IMG_0220.MP4"
"48";2020-07-13 22:25:00;"sus scrofa";"IMG_0251.MP4, IMG_0252.MP4, IMG_0253.MP4, IMG_0254.MP4";"corema";"calb23";"Rev01";2020-07-13 22:23:50;"sus scrofa, sus scrofa, sus scrofa, sus scrofa";"eating, eating, eating, eating";2;FALSE;NA;1;582;8,93715277777778;26;7;67;-6,44712;36,969135;9,16515138991168;"calb23_Rev01_IMG_0251.MP4, IMG_0252.MP4, IMG_0253.MP4, IMG_0254.MP4"
"49";2020-07-14 00:35:00;"sus scrofa";"IMG_0256.MP4, IMG_0257.MP4";"corema";"calb23";"Rev01";2020-07-14 00:36:52;"sus scrofa, sus scrofa";"eating, eating";1;FALSE;NA;1;582;8,93715277777778;26;2;40;-6,44712;36,969135;4,89897948556636;"calb23_Rev01_IMG_0256.MP4, IMG_0257.MP4"
"50";2020-07-14 03:15:00;"sus scrofa";"IMG_0262.MP4, IMG_0263.MP4, IMG_0264.MP4";"corema";"calb23";"Rev01";2020-07-14 03:13:06;"sus scrofa, sus scrofa, sus scrofa";"eating, eating, eating";1;FALSE;NA;1;582;8,93715277777778;26;3;60;-6,44712;36,969135;6;"calb23_Rev01_IMG_0262.MP4, IMG_0263.MP4, IMG_0264.MP4"
"51";2020-07-14 04:05:00;"sus scrofa";"IMG_0269.MP4, IMG_0270.MP4, IMG_0273.MP4";"corema";"calb23";"Rev01";2020-07-14 04:03:06;"sus scrofa, sus scrofa, sus scrofa";"eating, eating, eating";1;FALSE;NA;1;582;8,93715277777778;26;3;57;-6,44712;36,969135;6;"calb23_Rev01_IMG_0269.MP4, IMG_0270.MP4, IMG_0273.MP4"
"52";2020-07-14 04:15:00;"sus scrofa";"IMG_0275.MP4";"corema";"calb23";"Rev01";2020-07-14 04:16:22;"sus scrofa";"eating";1;FALSE;NA;1;582;8,93715277777778;26;1;20;-6,44712;36,969135;3,46410161513775;"calb23_Rev01_IMG_0275.MP4"
"53";2020-07-14 04:25:00;"orictolagus cuniculus";"07140074.MP4, 07140075.MP4";"corema";"calb13";"Rev01";2020-07-14 04:26:38;"orictolagus cuniculus, orictolagus cuniculus";"eating, eating";1;FALSE;NA;1;356;25,2058333333333;26;2;20,145;-6,446306;36,9695;4,89897948556636;"calb13_Rev01_07140074.MP4, 07140075.MP4"
"54";2020-07-14 04:30:00;"sus scrofa";"IMG_0281.MP4, IMG_0282.MP4, IMG_0285.MP4, IMG_0286.MP4, IMG_0287.MP4, IMG_0288.MP4";"corema";"calb23";"Rev01";2020-07-14 04:29:50;"sus scrofa, sus scrofa, sus scrofa, sus scrofa, sus scrofa, sus scrofa";"eating, eating, eating, eating, eating, eating";1;FALSE;NA;1;582;8,93715277777778;26;6;102;-6,44712;36,969135;8,48528137423857;"calb23_Rev01_IMG_0281.MP4, IMG_0282.MP4, IMG_0285.MP4, IMG_0286.MP4, IMG_0287.MP4, IMG_0288.MP4"
"55";2020-07-14 04:35:00;"sus scrofa";"IMG_0289.MP4, IMG_0290.MP4, IMG_0291.MP4, IMG_0292.MP4, IMG_0293.MP4, IMG_0294.MP4, IMG_0295.MP4";"corema";"calb23";"Rev01";2020-07-14 04:32:44;"sus scrofa, sus scrofa, sus scrofa, sus scrofa, sus scrofa, sus scrofa, sus scrofa";"eating, eating, eating, eating, eating, eating, eating";1;FALSE;NA;1;582;8,93715277777778;26;7;134;-6,44712;36,969135;9,16515138991168;"calb23_Rev01_IMG_0289.MP4, IMG_0290.MP4, IMG_0291.MP4, IMG_0292.MP4, IMG_0293.MP4, IMG_0294.MP4, IMG_0295.MP4"
"56";2020-07-14 06:15:00;"sus scrofa";"IMG_0300.MP4, IMG_0301.MP4, IMG_0302.MP4, IMG_0303.MP4, IMG_0304.MP4, IMG_0305.MP4, IMG_0306.MP4, IMG_0307.MP4, IMG_0308.MP4, IMG_0309.MP4, IMG_0312.MP4";"corema";"calb23";"Rev01";2020-07-14 06:14:52;"sus scrofa, sus scrofa, sus scrofa, sus scrofa, sus scrofa, sus scrofa, sus scrofa, sus scrofa, sus scrofa, sus scrofa, sus scrofa";"eating, eating, eating, eating, eating, eating, eating, eating, eating, eating, eating";1;FALSE;NA;1;582;8,93715277777778;26;11;121,5;-6,44712;36,969135;11,4891252930761;"calb23_Rev01_IMG_0300.MP4, IMG_0301.MP4, IMG_0302.MP4, IMG_0303.MP4, IMG_0304.MP4, IMG_0305.MP4, IMG_0306.MP4, IMG_0307.MP4, IMG_0308.MP4, IMG_0309.MP4, IMG_0312.MP4"
"57";2020-07-14 06:20:00;"sus scrofa";"IMG_0313.MP4";"corema";"calb23";"Rev01";2020-07-14 06:17:34;"sus scrofa";"eating";1;FALSE;NA;1;582;8,93715277777778;26;1;8;-6,44712;36,969135;3,46410161513775;"calb23_Rev01_IMG_0313.MP4"
"58";2020-07-14 07:40:00;"alectoris rufa";"IMG_0044.MP4";"corema";"calb09";"Rev01";2020-07-14 07:40:04;"alectoris rufa";"probably eating";1;FALSE;NA;1;255;25,2826157407407;26;1;10,25;-6,445597;36,969022;3,46410161513775;"calb09_Rev01_IMG_0044.MP4"
"59";2020-07-14 08:15:00;"alectoris rufa";"07140059.MP4";"corema";"calb07";"Rev01";2020-07-14 08:13:32;"alectoris rufa";"eating";4;FALSE;NA;1;244;25,2993055555556;26;4;10,1;-6,445319;36,969339;6,92820323027551;"calb07_Rev01_07140059.MP4"
"60";2020-07-14 08:50:00;"alectoris rufa";"07140076.MP4";"corema";"calb13";"Rev01";2020-07-14 08:49:54;"alectoris rufa";"probably eating";3;FALSE;NA;1;356;25,2058333333333;26;3;10,1;-6,446306;36,9695;6;"calb13_Rev01_07140076.MP4"
"61";2020-07-14 18:50:00;"sus scrofa";"IMG_0254.MP4, IMG_0256.MP4, IMG_0257.MP4";"corema";"calb11";"Rev01";2020-07-14 18:51:12;"sus scrofa, sus scrofa, sus scrofa";"eating, eating, eating";1;FALSE;NA;1;581;8,21365740740741;26;3;40,25;-6,446087;36,969275;6;"calb11_Rev01_IMG_0254.MP4, IMG_0256.MP4, IMG_0257.MP4"
"62";2020-07-14 18:55:00;"sus scrofa";"IMG_0258.MP4, IMG_0259.MP4, IMG_0260.MP4, IMG_0261.MP4";"corema";"calb11";"Rev01";2020-07-14 18:52:48;"sus scrofa, sus scrofa, sus scrofa, sus scrofa";"eating, eating, eating, eating";1;FALSE;NA;1;581;8,21365740740741;26;4;68,25;-6,446087;36,969275;6,92820323027551;"calb11_Rev01_IMG_0258.MP4, IMG_0259.MP4, IMG_0260.MP4, IMG_0261.MP4"
"63";2020-07-14 22:10:00;"sus scrofa";"07140025.AVI";"corema";"calb19";"Rev01";2020-07-14 22:10:32;"sus scrofa";"eating";1;FALSE;NA;1;170;25,0371296296296;26;1;10,566667;-6,447032;36,968581;3,46410161513775;"calb19_Rev01_07140025.AVI"
"64";2020-07-14 22:25:00;"sus scrofa";"IMG_0021.MP4, IMG_0022.MP4, IMG_0023.MP4";"corema";"calb22";"Rev01";2020-07-14 22:22:46;"sus scrofa, sus scrofa, sus scrofa";"eating, eating, eating";1;FALSE;NA;1;139;24,9939351851852;26;3;50;-6,446944;36,969153;6;"calb22_Rev01_IMG_0021.MP4, IMG_0022.MP4, IMG_0023.MP4"
