"";"interval";"Sp1";"File";"Plant";"Plant_ID";"Revision_ID";"Species";"Behaviour";"Count";"Coexistence";"Deployment_ID";"n_cam";"Videos";"Days";"Days.in.field";"n";"duration";"long";"lat";"videos_events";"ID";"Dt_correct";"DateTime"
"23";2022-12-16 02:35:00;"cervus elaphus";"IMG_0020.AVI, IMG_0021.AVI, IMG_0022.AVI";"joxy";"Joxy027";"Rev07";"cervus elaphus, cervus elaphus, cervus elaphus";"eating, eating, eating";1;FALSE;"Joxy027_25";1;39;19,78479167;NA;3;52,582492;-6,4043;36,829276;6;"Joxy027_Rev07_IMG_0020";2022-12-16 02:35:04;2022-12-16 02:35:04
"24";2022-12-16 02:40:00;"cervus elaphus";"IMG_0023.AVI, IMG_0024.AVI, IMG_0025.AVI";"joxy";"Joxy027";"Rev07";"cervus elaphus, cervus elaphus, cervus elaphus";"eating, eating, probably eating";1;FALSE;"Joxy027_25";1;39;19,78479167;NA;3;40,41602;-6,4043;36,829276;6;"Joxy027_Rev07_IMG_0023";2022-12-16 02:38:54;2022-12-16 02:38:54
"25";2022-12-16 03:55:00;"cervus elaphus";"12160023.AVI, 12160024.AVI, 12160025.AVI, 12160026.AVI, 12160027.AVI, 12160028.AVI";"joxy";"Joxy024";"Rev07";"cervus elaphus, cervus elaphus, cervus elaphus, cervus elaphus, cervus elaphus, cervus elaphus";"eating, eating, eating, eating, probably eating, probably eating";1;FALSE;"Joxy024_42";1;49;19,18386574;NA;6;62,800002;-6,403635;36,830234;8,48528137423857;"Joxy024_Rev07_12160023";2022-12-16 03:53:14;2022-12-16 03:53:14
"26";2022-12-16 05:50:00;"cervus elaphus";"IMG_0056.MP4, IMG_0057.MP4, IMG_0058.MP4, IMG_0060.MP4";"joxy";"Joxy004";"Rev07";"cervus elaphus, cervus elaphus, cervus elaphus, cervus elaphus";"eating, eating, probably eating, eating";1;FALSE;"Joxy004_32";1;84;19,88261574;NA;4;40;-6,403967;36,830325;6,92820323027551;"Joxy004_Rev07_IMG_0056";2022-12-16 05:49:48;2022-12-16 05:49:48
"27";2022-12-16 05:55:00;"cervus elaphus";"IMG_0061.MP4, IMG_0062.MP4";"joxy";"Joxy004";"Rev07";"cervus elaphus, cervus elaphus";"probably eating, probably eating";1;FALSE;"Joxy004_32";1;84;19,88261574;NA;2;20;-6,403967;36,830325;4,89897948556636;"Joxy004_Rev07_IMG_0061";2022-12-16 05:52:59;2022-12-16 05:52:59
"28";2022-12-16 15:30:00;"cervus elaphus";"12160026.AVI";"joxy";"Joxy021";"Rev07";"cervus elaphus";"probably eating";1;FALSE;"Joxy021_45";1;37;19,98108796;NA;1;10,466667;-6,402605;36,828975;3,46410161513775;"Joxy021_Rev07_12160026";2022-12-16 15:29:32;2022-12-16 15:29:32
"29";2022-12-17 14:05:00;"sus scrofa";"12170030.AVI";"joxy";"Joxy024";"Rev07";"sus scrofa";"searching for food";1;FALSE;"Joxy024_42";1;49;19,18386574;NA;1;10,566667;-6,403635;36,830234;3,46410161513775;"Joxy024_Rev07_12170030";2022-12-17 14:05:46;2022-12-17 14:05:46
"30";2022-12-18 18:20:00;"cervus elaphus";"IMG_0031.MP4, IMG_0032.MP4, IMG_0033.MP4, IMG_0034.MP4, IMG_0035.MP4, IMG_0036.MP4, IMG_0037.MP4, IMG_0038.MP4";"joxy";"Joxy023";"Rev07";"cervus elaphus, cervus elaphus, cervus elaphus, cervus elaphus, cervus elaphus, cervus elaphus, cervus elaphus, cervus elaphus";"eating, eating, eating, eating, eating, eating, eating, eating";1;FALSE;"Joxy023_38";1;68;19,87423611;NA;8;197;-6,403889;36,829375;9,79795897113271;"Joxy023_Rev07_IMG_0031";2022-12-18 18:17:32;2022-12-18 18:17:32
"31";2022-12-18 18:25:00;"cervus elaphus";"IMG_0039.MP4";"joxy";"Joxy023";"Rev07";"cervus elaphus";"eating";1;FALSE;"Joxy023_38";1;68;19,87423611;NA;1;10;-6,403889;36,829375;3,46410161513775;"Joxy023_Rev07_IMG_0039";2022-12-18 18:22:54;2022-12-18 18:22:54
"32";2022-12-19 17:25:00;"cervus elaphus";"IMG_0048.MP4, IMG_0049.MP4";"joxy";"Joxy023";"Rev07";"cervus elaphus, cervus elaphus";"eating, eating";1;FALSE;"Joxy023_38";1;68;19,87423611;NA;2;20;-6,403889;36,829375;4,89897948556636;"Joxy023_Rev07_IMG_0048";2022-12-19 17:26:18;2022-12-19 17:26:18
"33";2022-12-19 17:30:00;"cervus elaphus";"IMG_0051.MP4, IMG_0052.MP4, IMG_0053.MP4, IMG_0055.MP4, IMG_0056.MP4, IMG_0057.MP4";"joxy";"Joxy023";"Rev07";"cervus elaphus, cervus elaphus, cervus elaphus, cervus elaphus, cervus elaphus, cervus elaphus";"eating, eating, eating, eating, eating, eating";1;FALSE;"Joxy023_38";1;68;19,87423611;NA;6;205,5;-6,403889;36,829375;8,48528137423857;"Joxy023_Rev07_IMG_0051";2022-12-19 17:27:54;2022-12-19 17:27:54
"34";2022-12-19 17:35:00;"cervus elaphus";"IMG_0058.MP4, IMG_0059.MP4, IMG_0060.MP4, IMG_0061.MP4";"joxy";"Joxy023";"Rev07";"cervus elaphus, cervus elaphus, cervus elaphus, cervus elaphus";"eating, eating, eating, eating";1;FALSE;"Joxy023_38";1;68;19,87423611;NA;4;82;-6,403889;36,829375;6,92820323027551;"Joxy023_Rev07_IMG_0058";2022-12-19 17:32:32;2022-12-19 17:32:32
"35";2022-12-19 21:05:00;"sus scrofa";"IMG_0058.AVI";"joxy";"Joxy028";"Rev07";"sus scrofa";"probably eating";1;FALSE;"Joxy028_26";1;62;19,84891204;NA;1;16,166408;-6,40417;36,828787;3,46410161513775;"Joxy028_Rev07_IMG_0058";2022-12-19 21:05:24;2022-12-19 21:05:24
"36";2022-12-19 21:25:00;"cervus elaphus";"12190043.AVI, 12190044.AVI, 12190045.AVI";"joxy";"Joxy019";"Rev07";"cervus elaphus, cervus elaphus, cervus elaphus";"probably eating, probably eating, probably eating";1;FALSE;"Joxy019_49";1;52;19,35506944;NA;3;31,400001;-6,40324;36,828303;6;"Joxy019_Rev07_12190043";2022-12-19 21:25:18;2022-12-19 21:25:18
"37";2022-12-20 11:50:00;"cervus elaphus";"12200037.AVI";"joxy";"Joxy024";"Rev07";"cervus elaphus";"probably eating";1;FALSE;"Joxy024_42";1;49;19,18386574;NA;1;10,466667;-6,403635;36,830234;3,46410161513775;"Joxy024_Rev07_12200037";2022-12-20 11:52:14;2022-12-20 11:52:14
"38";2022-12-20 11:55:00;"cervus elaphus";"12200038.AVI, 12200039.AVI, 12200040.AVI, 12200041.AVI, 12200042.AVI, 12200043.AVI, 12200044.AVI, 12200045.AVI";"joxy";"Joxy024";"Rev07";"cervus elaphus, cervus elaphus, cervus elaphus, cervus elaphus, cervus elaphus, cervus elaphus, cervus elaphus, cervus elaphus";"probably eating, probably eating, probably eating, probably eating, eating, eating, probably eating, probably eating";1;FALSE;"Joxy024_42";1;49;19,18386574;NA;8;84,033336;-6,403635;36,830234;9,79795897113271;"Joxy024_Rev07_12200038";2022-12-20 11:52:32;2022-12-20 11:52:32
