"","plant","plant_ID","DateTime","Sp1","behaviour","Count","ncam","Videos","Days","duration","TimestampIssues","Long","Lat","path"
"391","plen","Plen308","2019-11-20 9:49:11","sylvia melanocephala","exploring / prob_feeding / interacting",1,1,NA,9,78,NA,-6.4453657,36.9657131,"/Helen_file/GH050022"
"392","plen","Plen308","2019-11-20 9:50:22","erithacus rubecula","feeding / exploring / interacting",1,1,NA,9,45,NA,-6.4453657,36.9657131,"/Helen_file/GH050022"
"393","plen","Plen308","2019-10-24 9:05:05","erithacus rubecula","NV / prob_feeding",1,1,NA,9,200,NA,-6.4453657,36.9657131,"/Helen_file/GH010024"
"394","plen","Plen308","2019-01-17 11:29:00","sylvia melanocephala","prob feeding",1,1,NA,9,41,NA,-6.4453657,36.9657131,"/Helen_file/GH070005"
"395","plen","Plen308","2019-11-07 8:41:10","chloris chloris","feeding / NV",1,1,NA,9,291,NA,-6.4453657,36.9657131,"/Helen_file/GH030018"
"396","plen","Plen308","2019-10-09 10:35:02","erithacus rubecula","prob_feeding / exploring",1,1,NA,9,31,NA,-6.4453657,36.9657131,"/Helen_file/GH050008"
"397","plen","Plen308","2019-10-09 10:35:38","sylvia atricapilla","prob_feeding / exploring",1,1,NA,9,69,NA,-6.4453657,36.9657131,"/Helen_file/GH050008"
"398","plen","Plen308","2019-01-17 10:09:12","unkown","prob feeding",1,1,NA,9,13,NA,-6.4453657,36.9657131,"/Helen_file/GH020005"
"399","plen","Plen308","2019-01-17 9:47:08","erithacus rubecula","exploring/not feeding",1,1,NA,9,4,NA,-6.4453657,36.9657131,"/Helen_file/GH010005"
"400","plen","Plen308","2019-01-17 9:47:57","unkown","prob feeding",1,1,NA,9,45,NA,-6.4453657,36.9657131,"/Helen_file/GH010005"
"401","plen","Plen308","2019-10-24 9:53:12","erithacus rubecula","perching / prob_feeding / NV",1,1,NA,9,135,NA,-6.4453657,36.9657131,"/Helen_file/GH040024"
"402","plen","Plen308","2019-10-24 9:49:47","sylvia undata","NV / prob_feeding",1,1,NA,9,46,NA,-6.4453657,36.9657131,"/Helen_file/GH040024"
"403","plen","Plen308","2019-01-17 10:06:21","erithacus rubecula","feeding",1,1,NA,9,81,NA,-6.4453657,36.9657131,"/Helen_file/GH020005"
"404","plen","Plen308","2019-10-24 10:05:44","erithacus rubecula","feeding",1,1,NA,9,23,NA,-6.4453657,36.9657131,"/Helen_file/GH040024"
"405","plen","Plen308","2020-01-15 10:24:50","sylvia melanocephala","feeding / preening",1,1,NA,9,166,NA,-6.4453657,36.9657131,"/Helen_file/GH040067"
"406","plen","Plen308","2019-10-24 10:12:21","sylvia melanocephala","prob_feeding / NV",1,1,NA,9,61,NA,-6.4453657,36.9657131,"/Helen_file/GH050024"
"407","plen","Plen308","2019-01-17 10:56:16","phylloscopus collybita","exploring/not feeding",1,1,NA,9,8,NA,-6.4453657,36.9657131,"/Helen_file/GH050005"
"408","plen","Plen308","2019-01-17 10:44:18","phylloscopus collybita","prob feeding",1,1,NA,9,11,NA,-6.4453657,36.9657131,"/Helen_file/GH040005"
"409","plen","Plen309","2019-01-24 9:49:42","phylloscopus collybita","exploring/not feeding",1,1,NA,9,31,NA,-6.445279,36.9655276,"/Helen_file/GH030006"
"410","plen","Plen309","2019-01-24 9:43:16","phylloscopus collybita","exploring/not feeding",1,1,NA,9,10,NA,-6.445279,36.9655276,"/Helen_file/GH030006"
"411","plen","Plen309","2019-11-11 9:26:53","chloris chloris","exploring / prob_feeding",1,1,NA,9,45,NA,-6.445279,36.9655276,"/Helen_file/GH040019"
"412","plen","Plen309","2019-10-01 9:40:40","sylvia melanocephala","prob_feeding",1,1,NA,9,161,NA,-6.445279,36.9655276,"/Helen_file/GH030003"
"413","plen","Plen310","2019-11-11 10:30:58","sylvia melanocephala","prob_feeding",1,1,NA,9,138,NA,-6.445324,36.9653638,"/Helen_file/GH080030"
"414","plen","Plen310","2019-11-11 10:26:48","chloris chloris","prob_feeding / NV",1,1,NA,9,41,NA,-6.445324,36.9653638,"/Helen_file/GH080030"
"415","plen","Plen310","2019-10-14 10:46:51","sylvia melanocephala","NV / prob_feeding",1,1,NA,9,47,NA,-6.445324,36.9653638,"/Helen_file/GH060008"
"416","plen","Plen310","2019-11-11 8:41:53","sylvia melanocephala","feeding",1,1,NA,9,26,NA,-6.445324,36.9653638,"/Helen_file/GH020030"
"417","plen","Plen310","2019-11-11 10:26:37","chloris chloris","feeding / NV",1,1,NA,9,404,NA,-6.445324,36.9653638,"/Helen_file/GH080030"
"418","plen","Plen310","2019-11-11 10:17:33","chloris chloris","feeding / NV",1,1,NA,9,123,NA,-6.445324,36.9653638,"/Helen_file/GH070030"
"419","plen","Plen310","2019-12-10 9:30:10","sylvia melanocephala","exploring / prob_feeding",1,1,NA,9,83,NA,-6.445324,36.9653638,"/Helen_file/GH040031"
"420","plen","Plen310","2019-11-11 8:49:03","sylvia melanocephala","prob_feeding",1,1,NA,9,77,NA,-6.445324,36.9653638,"/Helen_file/GH020030"
"421","plen","Plen310","2018-12-13 11:29:09","sylvia melanocephala","exploring/not feeding",1,1,NA,9,36,NA,-6.445324,36.9653638,"/Helen_file/GP047502"
"422","plen","Plen310","2019-12-10 9:22:47","sylvia melanocephala","exploring / prob_feeding",1,1,NA,9,47,NA,-6.445324,36.9653638,"/Helen_file/GH030031"
"423","plen","Plen310","2019-11-11 10:29:15","chloris chloris","feeding / perching",1,1,NA,9,70,NA,-6.445324,36.9653638,"/Helen_file/GH080030"
"424","plen","Plen310","2019-11-11 10:26:59","chloris chloris","feeding / interacting",1,1,NA,9,32,NA,-6.445324,36.9653638,"/Helen_file/GH080030"
"425","plen","Plen310","2019-11-11 10:25:22","chloris chloris","feeding / NV / interacting",1,1,NA,9,97,NA,-6.445324,36.9653638,"/Helen_file/GH080030"
"426","plen","Plen310","2019-10-30 10:28:33","sylvia melanocephala","prob_feeding",1,1,NA,9,8,NA,-6.445324,36.9653638,"/Helen_file/GH080016"
"427","plen","Plen310","2018-12-13 12:01:38","sylvia melanocephala","prob feeding",1,1,NA,9,55,NA,-6.445324,36.9653638,"/Helen_file/GP067502"
"428","plen","Plen310","2018-12-13 12:26:43","sylvia melanocephala","feeding",1,1,NA,9,80,NA,-6.445324,36.9653638,"/Helen_file/GP097502"
"429","plen","Plen310","2018-12-13 10:51:29","sylvia melanocephala","feeding",1,1,NA,9,49,NA,-6.445324,36.9653638,"/Helen_file/GP017502"
"430","plen","Plen310","2018-12-13 11:38:44","sylvia melanocephala","prob feeding",1,1,NA,9,48,NA,-6.445324,36.9653638,"/Helen_file/GP057502"
"431","plen","Plen310","2018-12-13 11:30:10","sylvia melanocephala","prob feeding",1,1,NA,9,17,NA,-6.445324,36.9653638,"/Helen_file/GP047502"
"432","plen","Plen310","2018-12-13 12:00:52","sylvia melanocephala","feeding",1,1,NA,9,109,NA,-6.445324,36.9653638,"/Helen_file/GP067502"
"433","plen","Plen310","2018-12-13 10:52:37","sylvia melanocephala","prob feeding",1,1,NA,9,28,NA,-6.445324,36.9653638,"/Helen_file/GP017502"
"434","plen","Plen311","2019-11-11 9:10:23","sylvia melanocephala","feeding / NV",1,1,NA,9,84,NA,-6.4454804,36.9653452,"/Helen_file/GH030021"
"435","plen","Plen311","2019-11-11 9:15:11","sylvia atricapilla","feeding",1,1,NA,9,73,NA,-6.4454804,36.9653452,"/Helen_file/GH040021"
"436","plen","Plen311","2019-10-15 10:54:01","sylvia undata","prob_feeding / NV",1,1,NA,9,50,NA,-6.4454804,36.9653452,"/Helen_file/GH040010"
"437","plen","Plen311","2018-12-17 14:39:30","sylvia melanocephala","exploring/not feeding",1,1,NA,9,20,NA,-6.4454804,36.9653452,"/Helen_file/GP087519"
"438","plen","Plen311","2019-11-25 9:56:46","sylvia melanocephala","feeding / NV",1,1,NA,9,40,NA,-6.4454804,36.9653452,"/Helen_file/GH050032"
"439","plen","Plen311","2018-12-17 14:38:13","sylvia melanocephala","exploring/not feeding",1,1,NA,9,15,NA,-6.4454804,36.9653452,"/Helen_file/GP087519"
"440","plen","Plen312","2019-01-16 9:59:10","sylvia melanocephala","prob feeding",1,1,NA,9,65,NA,-6.445677,36.9646322,"/Helen_file/GH020010"
"441","plen","Plen312","2019-12-12 10:20:06","sylvia melanocephala","exploring / prob_feeding",1,1,NA,9,88,NA,-6.445677,36.9646322,"/Helen_file/GH060040"
"442","plen","Plen312","2019-11-25 10:11:36","sylvia melanocephala","feeding",1,1,NA,9,19,NA,-6.445677,36.9646322,"/Helen_file/GH060059"
"443","plen","Plen312","2019-11-11 9:06:15","sylvia melanocephala","NV / prob_feeding",1,1,NA,9,71,NA,-6.445677,36.9646322,"/Helen_file/GH030028"
"444","plen","Plen312","2019-11-11 8:55:53","sylvia atricapilla","feeding / NV / perching",1,1,NA,9,148,NA,-6.445677,36.9646322,"/Helen_file/GH020028"
"445","plen","Plen312","2019-12-30 9:31:49","erithacus rubecula","feeding / perching",1,1,NA,9,55,NA,-6.445677,36.9646322,"/Helen_file/GH020047"
"446","plen","Plen312","2019-01-16 9:41:53","sylvia melanocephala","feeding",1,1,NA,9,12,NA,-6.445677,36.9646322,"/Helen_file/GH010010"
"447","plen","Plen312","2019-11-11 8:54:48","sylvia atricapilla","feeding / NV /perching",1,1,NA,9,194,NA,-6.445677,36.9646322,"/Helen_file/GH020028"
"448","plen","Plen313","2019-09-23 9:41:25","sylvia melanocephala","feeding / NV",1,1,NA,9,52,NA,-6.446062,36.9647111,"/Helen_file/GH030001"
