"","X.1","X","Path","filemodifydate","duration","fileType","FrameRate","ImageWidth","ImageHeight","Compression"
"134",134,134,"Rev1_20211109/Aune001_19/IMG_0134.AVI","2021:10:26 17:17:40+02:00","16.766499","AVI","30.000300003",1296,720,"MJPG"
"135",135,135,"Rev1_20211109/Aune001_19/IMG_0135.AVI","2021:10:26 17:19:22+02:00","10.499895","AVI","30.000300003",1296,720,"MJPG"
"136",136,136,"Rev1_20211109/Aune001_19/IMG_0136.AVI","2021:10:26 17:28:20+02:00","10.499895","AVI","30.000300003",1296,720,"MJPG"
"137",137,137,"Rev1_20211109/Aune001_19/IMG_0137.AVI","2021:10:26 17:35:10+02:00","10.533228","AVI","30.000300003",1296,720,"MJPG"
"138",138,138,"Rev1_20211109/Aune001_19/IMG_0138.AVI","2021:10:26 17:42:36+02:00","20.99979","AVI","30.000300003",1296,720,"MJPG"
"139",139,139,"Rev1_20211109/Aune001_19/IMG_0139.AVI","2021:10:26 17:42:52+02:00","10.66656","AVI","30.000300003",1296,720,"MJPG"
"140",140,140,"Rev1_20211109/Aune001_19/IMG_0140.AVI","2021:10:26 17:43:24+02:00","16.833165","AVI","30.000300003",1296,720,"MJPG"
"141",141,141,"Rev1_20211109/Aune001_19/IMG_0141.AVI","2021:10:26 17:43:52+02:00","10.533228","AVI","30.000300003",1296,720,"MJPG"
"142",142,142,"Rev1_20211109/Aune001_19/IMG_0142.AVI","2021:10:26 17:44:10+02:00","10.499895","AVI","30.000300003",1296,720,"MJPG"
"143",143,143,"Rev1_20211109/Aune001_19/IMG_0143.AVI","2021:10:26 17:44:24+02:00","10.533228","AVI","30.000300003",1296,720,"MJPG"
"144",144,144,"Rev1_20211109/Aune001_19/IMG_0144.AVI","2021:10:26 17:44:54+02:00","27.33306","AVI","30.000300003",1296,720,"MJPG"
"145",145,145,"Rev1_20211109/Aune001_19/IMG_0145.AVI","2021:10:26 17:45:46+02:00","10.499895","AVI","30.000300003",1296,720,"MJPG"
"146",146,146,"Rev1_20211109/Aune001_19/IMG_0146.AVI","2021:10:26 17:46:18+02:00","10.466562","AVI","30.000300003",1296,720,"MJPG"
"147",147,147,"Rev1_20211109/Aune001_19/IMG_0147.AVI","2021:10:26 17:54:08+02:00","16.833165","AVI","30.000300003",1296,720,"MJPG"
"148",148,148,"Rev1_20211109/Aune001_19/IMG_0148.AVI","2021:10:26 17:58:18+02:00","10.533228","AVI","30.000300003",1296,720,"MJPG"
"149",149,149,"Rev1_20211109/Aune001_19/IMG_0149.AVI","2021:10:26 18:01:06+02:00","16.833165","AVI","30.000300003",1296,720,"MJPG"
"150",150,150,"Rev1_20211109/Aune001_19/IMG_0150.AVI","2021:10:26 18:06:54+02:00","10.533228","AVI","30.000300003",1296,720,"MJPG"
"151",151,151,"Rev1_20211109/Aune001_19/IMG_0151.AVI","2021:10:26 18:10:02+02:00","16.833165","AVI","30.000300003",1296,720,"MJPG"
"152",152,152,"Rev1_20211109/Aune001_19/IMG_0152.AVI","2021:10:26 18:10:20+02:00","10.533228","AVI","30.000300003",1296,720,"MJPG"
"153",153,153,"Rev1_20211109/Aune001_19/IMG_0153.AVI","2021:10:26 18:16:32+02:00","10.533228","AVI","30.000300003",1296,720,"MJPG"
"154",154,154,"Rev1_20211109/Aune001_19/IMG_0154.AVI","2021:10:26 18:21:24+02:00","10.566561","AVI","30.000300003",1296,720,"MJPG"
"155",155,155,"Rev1_20211109/Aune001_19/IMG_0155.AVI","2021:10:26 18:24:52+02:00","16.833165","AVI","30.000300003",1296,720,"MJPG"
"156",156,156,"Rev1_20211109/Aune001_19/IMG_0156.AVI","2021:10:26 18:25:06+02:00","10.499895","AVI","30.000300003",1296,720,"MJPG"
"157",157,157,"Rev1_20211109/Aune001_19/IMG_0157.AVI","2021:10:26 18:28:12+02:00","10.499895","AVI","30.000300003",1296,720,"MJPG"
"158",158,158,"Rev1_20211109/Aune001_19/IMG_0158.AVI","2021:10:26 18:28:58+02:00","10.499895","AVI","30.000300003",1296,720,"MJPG"
"159",159,159,"Rev1_20211109/Aune001_19/IMG_0159.AVI","2021:10:26 18:29:14+02:00","10.499895","AVI","30.000300003",1296,720,"MJPG"
"160",160,160,"Rev1_20211109/Aune001_19/IMG_0160.AVI","2021:10:26 18:30:26+02:00","10.466562","AVI","30.000300003",1296,720,"MJPG"
"161",161,161,"Rev1_20211109/Aune001_19/IMG_0161.AVI","2021:10:26 18:32:52+02:00","10.466562","AVI","30.000300003",1296,720,"MJPG"
"162",162,162,"Rev1_20211109/Aune001_19/IMG_0162.AVI","2021:10:26 18:39:56+02:00","10.533228","AVI","30.000300003",1296,720,"MJPG"
"163",163,163,"Rev1_20211109/Aune001_19/IMG_0163.AVI","2021:10:26 18:40:12+02:00","10.499895","AVI","30.000300003",1296,720,"MJPG"
"164",164,164,"Rev1_20211109/Aune001_19/IMG_0164.AVI","2021:10:26 18:40:26+02:00","10.566561","AVI","30.000300003",1296,720,"MJPG"
"165",165,165,"Rev1_20211109/Aune001_19/IMG_0165.AVI","2021:10:26 18:42:10+02:00","10.533228","AVI","30.000300003",1296,720,"MJPG"
"166",166,166,"Rev1_20211109/Aune001_19/IMG_0166.AVI","2021:10:26 18:42:22+02:00","10.533228","AVI","30.000300003",1296,720,"MJPG"
"167",167,167,"Rev1_20211109/Aune001_19/IMG_0167.AVI","2021:10:26 18:45:24+02:00","10.533228","AVI","30.000300003",1296,720,"MJPG"
"168",168,168,"Rev1_20211109/Aune001_19/IMG_0168.AVI","2021:10:26 18:46:14+02:00","10.533228","AVI","30.000300003",1296,720,"MJPG"
"169",169,169,"Rev1_20211109/Aune001_19/IMG_0169.AVI","2021:10:26 18:47:00+02:00","10.499895","AVI","30.000300003",1296,720,"MJPG"
"170",170,170,"Rev1_20211109/Aune001_19/IMG_0170.AVI","2021:10:26 18:47:28+02:00","10.499895","AVI","30.000300003",1296,720,"MJPG"
"171",171,171,"Rev1_20211109/Aune001_19/IMG_0171.AVI","2021:10:26 18:48:44+02:00","10.533228","AVI","30.000300003",1296,720,"MJPG"
"172",172,172,"Rev1_20211109/Aune001_19/IMG_0172.AVI","2021:10:26 18:49:22+02:00","24.166425","AVI","30.000300003",1296,720,"MJPG"
"173",173,173,"Rev1_20211109/Aune001_19/IMG_0173.AVI","2021:10:26 18:50:00+02:00","16.866498","AVI","30.000300003",1296,720,"MJPG"
"174",174,174,"Rev1_20211109/Aune001_19/IMG_0174.AVI","2021:10:26 18:50:28+02:00","16.799832","AVI","30.000300003",1296,720,"MJPG"
