RootFolder,File,RelativePath,DateTime,DeleteFlag,Behaviour,Sex,Sp1,Count1,Sp2,Count2,Sp3,Count3,Juvenile,Favourite,Obs,Behaviour2,
indet,IMG_0030.MP4,SUMHAL_YR1\Pinus\Rev4_20211201\Ppin002_29, 2023-04-18 12:29:29,false,visits (using plant),,erithacus rubecula,0,,0,,0,false,false,,,
indet,12030026.MP4,SUMHAL_YR1\Pinus\Rev5_20211215\Ppin004_47, 2023-04-18 12:29:29,false,,,-,0,,0,,0,false,false,,,
indet,12060028.MP4,SUMHAL_YR1\Pinus\Rev5_20211215\Ppin004_47, 2023-04-18 12:29:29,false,,,-,0,,0,,0,false,false,,,
indet,12060007.MP4,SUMHAL_YR1\Pinus\Rev5_20211215\Ppin005_48, 2023-04-18 12:29:29,false,,,-,0,,0,,0,false,false,,,
indet,12070008.MP4,SUMHAL_YR1\Pinus\Rev5_20211215\Ppin005_48, 2023-04-18 12:29:29,false,,,-,0,,0,,0,false,false,,,
indet,12070009.MP4,SUMHAL_YR1\Pinus\Rev5_20211215\Ppin005_48, 2023-04-18 12:29:29,false,,,-,0,,0,,0,false,false,,,
indet,12070010.MP4,SUMHAL_YR1\Pinus\Rev5_20211215\Ppin005_48, 2023-04-18 12:29:29,false,,,-,0,,0,,0,false,false,,,
indet,12070011.MP4,SUMHAL_YR1\Pinus\Rev5_20211215\Ppin005_48, 2023-04-18 12:29:29,false,,,-,0,,0,,0,false,false,,,
indet,IMG_0035.AVI,SUMHAL_YR1\Pinus\Rev6_20220112\Ppin003_20, 2023-04-18 12:29:29,false,visits (using plant),,cyanistes caeruleus,0,,0,,0,false,false,,,
indet,IMG_0038.AVI,SUMHAL_YR1\Pinus\Rev6_20220112\Ppin003_20, 2023-04-18 12:29:29,false,,,cyanistes caeruleus,0,,0,,0,false,false,,,
indet,01290387.AVI,SUMHAL_YR1\Pyrus\Rev_1_20211014\pbou_002_5R\100EK113, 2023-04-18 12:29:29,false,other interaction (note in obs),,?,0,,0,,0,false,false,,,
indet,10010033.AVI,SUMHAL_YR1\Pyrus\Rev_1_20211014\pbou_003_7R, 2023-04-18 12:29:29,false,,,bos taurus,0,,0,,0,false,false,,,
indet,IMG_0008.AVI,SUMHAL_YR1\Pyrus\Rev_1_20211014\pbou_005_6, 2023-04-18 12:29:29,false,,,-,0,,0,,0,false,true,,,
indet,IMG_0272.AVI,SUMHAL_YR1\Pyrus\Rev_1_20211014\pbou_006_08, 2023-04-18 12:29:29,false,visits (using plant),,?,0,,0,,0,false,true,,,
indet,IMG_0369.AVI,SUMHAL_YR1\Pyrus\Rev_1_20211014\pbou_006_08, 2023-04-18 12:29:29,false,visits (using plant),,?,0,,0,,0,false,false,,,
indet,IMG_0370.AVI,SUMHAL_YR1\Pyrus\Rev_1_20211014\pbou_006_08, 2023-04-18 12:29:29,false,visits (using plant),,?,0,,0,,0,false,false,,,
indet,IMG_0030.AVI,SUMHAL_YR1\Pyrus\Rev_2_20211026\pbou_006_08, 2023-04-18 12:29:29,false,visits (using plant),,phoenicurus ochruros,0,,0,,0,false,true,,,
indet,IMG_0062.AVI,SUMHAL_YR1\Pyrus\Rev_2_20211026\pbou_006_08, 2023-04-18 12:29:29,false,visits (using plant),,phoenicurus ochruros,0,,0,,0,false,false,,,
indet,IMG_0091.AVI,SUMHAL_YR1\Pyrus\Rev_2_20211026\pbou_006_08, 2023-04-18 12:29:29,false,visits (using plant),,phoenicurus ochruros,0,,0,,0,false,false,,,
indet,IMG_0114.AVI,SUMHAL_YR1\Pyrus\Rev_2_20211026\pbou_006_08, 2023-04-18 12:29:29,false,visits (using plant),,phoenicurus ochruros,0,,0,,0,false,false,,,
indet,IMG_0116.AVI,SUMHAL_YR1\Pyrus\Rev_2_20211026\pbou_006_08, 2023-04-18 12:29:29,false,visits (using plant),,phoenicurus ochruros,0,,0,,0,false,true,,,
indet,03050183.AVI,SUMHAL_YR1\Pyrus\Rev_3_20211109\pbou_002_5R\100EK113, 2023-04-18 12:29:29,false,visits (using plant),,sylvia melanocephala,0,?,0,,0,false,true,,,
indet,03050184.AVI,SUMHAL_YR1\Pyrus\Rev_3_20211109\pbou_002_5R\100EK113, 2023-04-18 12:29:29,false,visits (using plant),,?,0,,0,,0,false,false,,,
indet,IMG_0187.AVI,SUMHAL_YR1\Pyrus\Rev_3_20211109\pbou_011_12, 2023-04-18 12:29:29,false,visits (using plant),,?,0,,0,,0,false,false,,,
indet,IMG_0374.AVI,SUMHAL_YR1\Pyrus\Rev_4_20211123\Pbou_005_06, 2023-04-18 12:29:29,false,visits (using plant),,?,0,,0,,0,false,false,,,
indet,IMG_0248.AVI,SUMHAL_YR1\Pyrus\Rev_4_20211123\Pbou_012_18, 2023-04-18 12:29:29,false,visits (using plant),,?,0,,0,,0,false,false,,,
indet,IMG_0161.AVI,SUMHAL_YR1\Pyrus\Rev_4_20211123\Pbou_12_17, 2023-04-18 12:29:29,false,visits (using plant),,sylvia atricapilla,0,,0,,0,false,true,,,
indet,IMG_0008.AVI,SUMHAL_YR1\Rubia\Rev1_20211026\Rper_002, 2023-04-18 12:29:29,false,visits (using plant),,sylvia melanocephala,0,,0,,0,false,true,,,
indet,IMG_0176.AVI,SUMHAL_YR1\Rubus\Rev_1_20210903\Rulm_004, 2023-04-18 12:29:29,false,searching for food,,sylvia communis,2,,0,,0,false,true,,,
indet,IMG_0177.AVI,SUMHAL_YR1\Rubus\Rev_1_20210903\Rulm_004, 2023-04-18 12:29:29,false,visits (using plant),,sylvia communis,0,,0,,0,false,false,,,
indet,IMG_0296.AVI,SUMHAL_YR1\Rubus\Rev_1_20210903\Rulm_005, 2023-04-18 12:29:29,false,,,-,0,,0,,0,false,false,,,
indet,IMG_0297.AVI,SUMHAL_YR1\Rubus\Rev_1_20210903\Rulm_005, 2023-04-18 12:29:29,false,,,-,0,,0,,0,false,false,,,
indet,IMG_0300.AVI,SUMHAL_YR1\Rubus\Rev_1_20210903\Rulm_005, 2023-04-18 12:29:29,false,,,-,0,,0,,0,false,false,,,
indet,IMG_0236.AVI,SUMHAL_YR1\Rubus\Rev_1_20210903\Rulm_011, 2023-04-18 12:29:29,false,,,iduna opaca,0,,0,,0,false,true,,,
indet,IMG_0010.AVI,SUMHAL_YR1\Rubus\Rev_1_20210903\Rulm_013, 2023-04-18 12:29:29,false,eating,,sylvia cantillans,0,,0,,0,false,true,,,
indet,IMG_0509.AVI,SUMHAL_YR1\Rubus\Rev_1_20210903\Rulm_018, 2023-04-18 12:29:29,false,searching for food,,sylvia cantillans,0,,0,,0,false,true,,,
indet,IMG_0510.AVI,SUMHAL_YR1\Rubus\Rev_1_20210903\Rulm_018, 2023-04-18 12:29:29,false,eating,,sylvia melanocephala,0,,0,,0,false,true,,,
indet,IMG_0151.AVI,SUMHAL_YR1\Rubus\Rev_2_20210915\Rulm_002, 2023-04-18 12:29:29,false,probably eating,,turdus merula,0,,0,,0,false,false,,,
indet,IMG_0222.AVI,SUMHAL_YR1\Rubus\Rev_2_20210915\Rulm_002, 2023-04-18 12:29:29,false,visits (using plant),,saxicola rubicola,0,,0,,0,false,true,,,
